Product Name,Price,Rating,No. of reviews,Delivery Date,Delivery Type,Buy link
"Redmi Note 8 Pro (Electric Blue, 6GB RAM, 64GB Storage with Helio G90T Processor)","₹15,999",4.3 out of 5 stars,"95,434",delivery date not available,FREE Delivery by Amazon,https://www.amazon.in//Redmi-Note-Pro-Electric-Processor/dp/B07X2KLYSF/ref=sr_1_1?dchild=1&keywords=redmi+note+8+pro&qid=1612693906&sr=8-1
"Redmi Note 8 (Space Black, 4GB RAM, 64GB Storage) | Snapdragon 665 Processor | 48 MP Quad Camera","₹12,499",4.3 out of 5 stars,"107,932",delivery date not available,FREE Delivery by Amazon,https://www.amazon.in//Redmi-Note-Space-Black-Storage/dp/B07X4PXKZ7/ref=sr_1_2?dchild=1&keywords=redmi+note+8+pro&qid=1612693906&sr=8-2
"Redmi Note 8 Pro (Gamma Green, 6GB RAM, 64GB Storage with Helio G90T Processor)",price not available,4.3 out of 5 stars,"95,434",delivery date not available,Delivery type not available,https://www.amazon.in//Redmi-Note-Pro-Storage-Processor/dp/B07X4PXKZQ/ref=sr_1_3?dchild=1&keywords=redmi+note+8+pro&qid=1612693906&sr=8-3
"Redmi Note 9 Pro Max (Aurora Blue, 6GB RAM, 64GB Storage)- 64MP Quad Camera & Alexa Hands-Free","₹14,999",4.1 out of 5 stars,"28,642",delivery date not available,FREE Delivery by Amazon,https://www.amazon.in//Test-Exclusive-558/dp/B077PWJRFH/ref=sr_1_4?dchild=1&keywords=redmi+note+8+pro&qid=1612693906&sr=8-4
"Redmi Note 9 Pro Max (Interstellar Black, 6GB RAM, 64GB Storage) - 64MP Quad Camera & Alexa Hands-Free","₹14,999",4.1 out of 5 stars,"28,642","Thursday, February 11",FREE Delivery by Amazon,https://www.amazon.in//Test-Exclusive-557/dp/B077PWJ8RS/ref=sr_1_5?dchild=1&keywords=redmi+note+8+pro&qid=1612693906&sr=8-5
"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free","₹12,999",4.2 out of 5 stars,"31,513","Tomorrow, February 8",FREE Delivery by Amazon,https://www.amazon.in//Redmi-Note-Pro-Interstellar-Snapdragon/dp/B077PWBC78/ref=sr_1_6?dchild=1&keywords=redmi+note+8+pro&qid=1612693906&sr=8-6
"Redmi Note 9 Pro (Aurora Blue, 4GB RAM, 64GB Storage) - Latest 8nm Snapdragon 720G & Alexa Hands-Free","₹12,999",4.2 out of 5 stars,"31,513","Wednesday, February 10",FREE Delivery by Amazon,https://www.amazon.in//Test-Exclusive-550/dp/B077Q7GW9V/ref=sr_1_7?dchild=1&keywords=redmi+note+8+pro&qid=1612693906&sr=8-7
"Redmi Note 9 Pro Max (Interstellar Black, 6GB RAM, 128GB Storage) - 64MP Quad Camera & Latest 8nm Snapdragon 720G & Alexa Hands-Free","₹17,499",4.1 out of 5 stars,"28,642","Tomorrow, February 8",FREE Delivery by Amazon,https://www.amazon.in//Test-Exclusive-600/dp/B07HGBMHTR/ref=sr_1_8?dchild=1&keywords=redmi+note+8+pro&qid=1612693906&sr=8-8
"Samsung Galaxy M21 (Raven Black, 6GB RAM, 128GB Storage)","₹15,999",4.2 out of 5 stars,"87,268","Wednesday, February 10",FREE Delivery by Amazon,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0607246592KGY79KLYT&url=%2FSamsung-Galaxy-Raven-Black-Storage%2Fdp%2FB07HGH8ML7%2Fref%3Dsr_1_9_sspa%3Fdchild%3D1%26keywords%3Dredmi%2Bnote%2B8%2Bpro%26qid%3D1612693906%26sr%3D8-9-spons%26psc%3D1&qualifier=1612693906&id=6657549895719652&widgetName=sp_mtf
"Redmi Note 9 Pro (Champagne Gold, 4GB RAM, 64GB Storage) - Latest 8nm Snapdragon 720G & Alexa Hands-Free","₹12,999",4.2 out of 5 stars,"31,513","Wednesday, February 10",FREE Delivery by Amazon,https://www.amazon.in//Redmi-Note-Pro-Champagne-Storage/dp/B08696XB45/ref=sr_1_10?dchild=1&keywords=redmi+note+8+pro&qid=1612693906&sr=8-10
"Redmi Note 9 Pro Max (Aurora Blue, 6GB RAM, 128GB Storage) - 64MP Quad Camera & Latest 8nm Snapdragon 720G & Alexa Hands-Free","₹17,499",4.1 out of 5 stars,"28,642","Saturday, February 13",FREE Delivery by Amazon,https://www.amazon.in//Test-Exclusive-602/dp/B07HGLC2CG/ref=sr_1_11?dchild=1&keywords=redmi+note+8+pro&qid=1612693906&sr=8-11
"Redmi Note 9 (Pebble Grey, 4GB RAM 64GB Storage) - 48MP Quad Camera & Full HD+ Display",price not available,4.2 out of 5 stars,"25,983",delivery date not available,Delivery type not available,https://www.amazon.in//Redmi-Note-Pebble-Grey-Storage/dp/B086977TR6/ref=sr_1_12?dchild=1&keywords=redmi+note+8+pro&qid=1612693906&sr=8-12
"Redmi Note 9 (Pebble Grey, 6GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display","₹13,999",4.2 out of 5 stars,"25,983","Wednesday, February 10",FREE Delivery by Amazon,https://www.amazon.in//Redmi-Note-Pebble-128GB-Storage/dp/B08697KLYV/ref=sr_1_13?dchild=1&keywords=redmi+note+8+pro&qid=1612693906&sr=8-13
