Product Name,Price,Rating,No. of reviews,Buy link
"Redmi Note 8 Pro (Shadow Black, 128 GB)","₹19,999",4.4 out of 5,"11,735 Ratings & 1,024 Reviews",https://www.flipkart.com/redmi-note-8-pro-shadow-black-128-gb/p/itm014bee372e2a7?pid=MOBFHFGFPAMSCEA4&lid=LSTMOBFHFGFPAMSCEA4YJAVWO&marketplace=FLIPKART&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=0f7cc465-415d-4d57-bef6-10423ecd4822.MOBFHFGFPAMSCEA4.SEARCH&ssid=55bqgb4w680000001612693904451&qH=031f5904912f80dd
"Redmi Note 8 Pro (Halo White, 128 GB)","₹19,485",4.4 out of 5,"11,735 Ratings & 1,024 Reviews",https://www.flipkart.com/redmi-note-8-pro-halo-white-128-gb/p/itm8e9156d3750fb?pid=MOBFHFFUYHFH7MFK&lid=LSTMOBFHFFUYHFH7MFKX4WSWU&marketplace=FLIPKART&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=0f7cc465-415d-4d57-bef6-10423ecd4822.MOBFHFFUYHFH7MFK.SEARCH&ssid=55bqgb4w680000001612693904451&qH=031f5904912f80dd
"Redmi Note 8 Pro (Gamma Green, 64 GB)","₹16,990",4.4 out of 5,"80,033 Ratings & 6,932 Reviews",https://www.flipkart.com/redmi-note-8-pro-gamma-green-64-gb/p/itmb5a411e20719e?pid=MOBFHHRQDRRMKU94&lid=LSTMOBFHHRQDRRMKU94DIBZCN&marketplace=FLIPKART&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=0f7cc465-415d-4d57-bef6-10423ecd4822.MOBFHHRQDRRMKU94.SEARCH&ssid=55bqgb4w680000001612693904451&qH=031f5904912f80dd
"Redmi Note 8 Pro (Halo White, 128 GB)","₹17,999",4.4 out of 5,"80,033 Ratings & 6,932 Reviews",https://www.flipkart.com/redmi-note-8-pro-halo-white-128-gb/p/itmc585e6c8ffd12?pid=MOBFHGT9NWZHHSHF&lid=LSTMOBFHGT9NWZHHSHFWKUKPF&marketplace=FLIPKART&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=0f7cc465-415d-4d57-bef6-10423ecd4822.MOBFHGT9NWZHHSHF.SEARCH&ssid=55bqgb4w680000001612693904451&qH=031f5904912f80dd
"Redmi Note 8 Pro (Halo White, 64 GB)","₹15,999",4.4 out of 5,"80,033 Ratings & 6,932 Reviews",https://www.flipkart.com/redmi-note-8-pro-halo-white-64-gb/p/itm4da816cb9b194?pid=MOBFHHRRUJSYKJGQ&lid=LSTMOBFHHRRUJSYKJGQNF1RGW&marketplace=FLIPKART&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=0f7cc465-415d-4d57-bef6-10423ecd4822.MOBFHHRRUJSYKJGQ.SEARCH&ssid=55bqgb4w680000001612693904451&qH=031f5904912f80dd
"Redmi Note 8 Pro (Electric Blue, 64 GB)","₹15,999",4.4 out of 5,"80,033 Ratings & 6,932 Reviews",https://www.flipkart.com/redmi-note-8-pro-electric-blue-64-gb/p/itm73a0543033be6?pid=MOBFN2HFYVG6PNVP&lid=LSTMOBFN2HFYVG6PNVPWSBJUE&marketplace=FLIPKART&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=0f7cc465-415d-4d57-bef6-10423ecd4822.MOBFN2HFYVG6PNVP.SEARCH&ssid=55bqgb4w680000001612693904451&qH=031f5904912f80dd
"Redmi Note 8 Pro (Shadow Black, 64 GB)","₹15,999",4.4 out of 5,"80,033 Ratings & 6,932 Reviews",https://www.flipkart.com/redmi-note-8-pro-shadow-black-64-gb/p/itmb46d3b16b3c99?pid=MOBFHHSFPJNGF3DG&lid=LSTMOBFHHSFPJNGF3DGZPNNLK&marketplace=FLIPKART&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=0f7cc465-415d-4d57-bef6-10423ecd4822.MOBFHHSFPJNGF3DG.SEARCH&ssid=55bqgb4w680000001612693904451&qH=031f5904912f80dd
"Redmi Note 8 Pro (Gamma Green, 128 GB)","₹19,999",4.4 out of 5,"11,735 Ratings & 1,024 Reviews",https://www.flipkart.com/redmi-note-8-pro-gamma-green-128-gb/p/itm52db6c9eec88d?pid=MOBFHFFTVRDUTFRP&lid=LSTMOBFHFFTVRDUTFRPR1QLXT&marketplace=FLIPKART&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=0f7cc465-415d-4d57-bef6-10423ecd4822.MOBFHFFTVRDUTFRP.SEARCH&ssid=55bqgb4w680000001612693904451&qH=031f5904912f80dd
"Redmi Note 8 Pro (Shadow Black, 128 GB)","₹17,999",4.4 out of 5,"80,033 Ratings & 6,932 Reviews",https://www.flipkart.com/redmi-note-8-pro-shadow-black-128-gb/p/itm2f31dd5ad9153?pid=MOBFHGTDDTQ4CZVZ&lid=LSTMOBFHGTDDTQ4CZVZZCFTWJ&marketplace=FLIPKART&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=0f7cc465-415d-4d57-bef6-10423ecd4822.MOBFHGTDDTQ4CZVZ.SEARCH&ssid=55bqgb4w680000001612693904451&qH=031f5904912f80dd
"Redmi Note 8 Pro (Electric Blue, 128 GB)","₹17,999",4.4 out of 5,"80,033 Ratings & 6,932 Reviews",https://www.flipkart.com/redmi-note-8-pro-electric-blue-128-gb/p/itme2e8bb8e0a8a2?pid=MOBFMY4BT4KUFPRV&lid=LSTMOBFMY4BT4KUFPRVUQPLII&marketplace=FLIPKART&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=0f7cc465-415d-4d57-bef6-10423ecd4822.MOBFMY4BT4KUFPRV.SEARCH&ssid=55bqgb4w680000001612693904451&qH=031f5904912f80dd
