Product Name,Price,Location,Add post date,Buy link
Redmi K20 Note 9 Pro Max | 8 8A 7 7A 6 6A 5 | Mi 10 | Poco X3 X2 F1 M2,"₹ 7,993","Marathahalli, Bengaluru",2 days ago,https://www.olx.in/item/redmi-k20-note-9-pro-max-8-8a-7-7a-6-6a-5-mi-10-poco-x3-x2-f1-m2-iid-1621362786
Redmi K20 Note 9 Pro Max | 8 8A 7 7A 6 6A 5 | Mi 10 | Poco X3 X2 F1 M2,"₹ 7,999","Tilak Nagar, Delhi",2 days ago,https://www.olx.in/item/redmi-k20-note-9-pro-max-8-8a-7-7a-6-6a-5-mi-10-poco-x3-x2-f1-m2-iid-1621356542
Redmi K20 Note 9 Pro Max | 8 8A 7 7A 6 6A 5 | Mi 10 | Poco X3 X2 F1 M2,"₹ 7,990","Jagatpura, Jaipur",2 days ago,https://www.olx.in/item/redmi-k20-note-9-pro-max-8-8a-7-7a-6-6a-5-mi-10-poco-x3-x2-f1-m2-iid-1621367133
Redmi. Note 8.Pro mobile. urgent sale,"₹ 7,699","Manauwan, Katghar Lalganj",Today,https://www.olx.in/item/redmi-note-8pro-mobile-urgent-sale-iid-1621734477
Redmi note 8 pro,"₹ 14,000","IAS Officers Colony, Dehradun",Today,https://www.olx.in/item/redmi-note-8-pro-iid-1621733239
Redmi note 8 pro,"₹ 14,000","Ramavarappadu, Vijayawada",Today,https://www.olx.in/item/redmi-note-8-pro-iid-1621729432
Redmi note 8 pro,"₹ 12,200","Tilak Nagar, Patna",Today,https://www.olx.in/item/redmi-note-8-pro-iid-1621728382
REDMI... NOTE...8...PRO... MOBILE,"₹ 6,500","Bhilawa Danda, Hamirpur",Today,https://www.olx.in/item/redmi-note8pro-mobile-iid-1621727288
Redmi note 8 pro by 6 month old,"₹ 12,000","Tamtamtoli, Ranchi",Today,https://www.olx.in/item/redmi-note-8-pro-by-6-month-old-iid-1621725563
Redmi note 8 pro 6/128,"₹ 14,500","Mandoli, Delhi",Today,https://www.olx.in/item/redmi-note-8-pro-6128-iid-1621725451
Redmi note 8 pro,"₹ 12,000","Ganga Bazar, Itanagar",Today,https://www.olx.in/item/redmi-note-8-pro-iid-1621722874
Redmi note 8 pro in good condition,"₹ 11,000","VIP Road, Zirakpur",Today,https://www.olx.in/item/redmi-note-8-pro-in-good-condition-iid-1621719279
Redmi note 8 pro,"₹ 14,000","Dhan Bandha, Barpeta",Today,https://www.olx.in/item/redmi-note-8-pro-iid-1616171348
Redmi note 8 pro,"₹ 13,000","Chuharpur Araian 78, Patiala",Today,https://www.olx.in/item/redmi-note-8-pro-iid-1607684528
Redmi Note 8 Pro Very Good Condition,"₹ 14,000","Atraulia, Uttar Pradesh",Today,https://www.olx.in/item/redmi-note-8-pro-very-good-condition-iid-1621715534
REDMI... NOTE...8...PRO,"₹ 6,500","Bahubani, Maigal Ganj",Today,https://www.olx.in/item/redmi-note8pro-iid-1621710532
"Iphone 6s 16 gb mint condition exange with poco f1 ,redmi note 8 pro","₹ 9,000","Keralapuram, Kollam",Today,https://www.olx.in/item/iphone-6s-16-gb-mint-condition-exange-with-poco-f1-redmi-note-8-pro-iid-1608910344
Mi redmi note 8 pro,"₹ 12,500","Avas Vikas, Gorakhpur",Today,https://www.olx.in/item/mi-redmi-note-8-pro-iid-1621707548
redmi note 8 pro 6/128 (green),"₹ 12,700","Daudpur, Gorakhpur",Today,https://www.olx.in/item/redmi-note-8-pro-6128-green-iid-1621705169
Redmi Note 8 Pro 128gb.,"₹ 13,500","Ramdayalu Nagar, Muzaffarpur",Today,https://www.olx.in/item/redmi-note-8-pro-128gb-iid-1621702122
